MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs,MAPE_original
0.0011736957,2.3875073e-06,0.0015451561,0.0001467119582230125,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,oridata,2,0.0011736956657841
0.0005117029,3.9937512e-07,0.00063196133,6.396286335075e-05,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,wgan,2,0.000511702906806
0.01341862,0.00018298786,0.0135273,0.0016773275565356,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,diffts,6,0.0134186204522848
0.012100799,0.00014692364,0.012121206,0.0015125998761504876,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,diffts-fft,6,0.0121007990092039
0.0006617891,6.9930104e-07,0.0008362422,8.2723636296575e-05,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,timegan,2,0.0006617890903726
0.00076169183,8.840758e-07,0.000940253,9.52114787651125e-05,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,cgan,2,0.0007616918301209
0.0015740033,4.2979877e-06,0.002073159,0.000196750406757925,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,oridata,2,0.0015740032540634
0.0011884847,2.3955542e-06,0.0015477578,0.0001485605898778875,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,wgan,2,0.0011884847190231
0.012901614,0.00016783131,0.012954973,0.0016127018025144874,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,diffts,6,0.0129016144201159
0.01211544,0.00014766061,0.012151568,0.001514430041424925,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,diffts-fft,6,0.0121154403313994
0.0004594993,3.5094934e-07,0.00059240975,5.74374134885125e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,timegan,2,0.0004594993079081
0.0013246365,2.5830248e-06,0.0016071792,0.0001655795640544875,0.0,Bobcat_warehouse_Charlie_start8000_2160,20,cgan,2,0.0013246365124359
0.002224684,6.5406416e-06,0.002557468,0.0002780854993034125,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,oridata,2,0.0022246839944273
0.0031251693,1.649191e-05,0.0040610232,0.0003906461643055,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,wgan,2,0.003125169314444
0.012830801,0.00016828197,0.012972354,0.001603850163519375,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,diffts,6,0.012830801308155
0.010644455,0.00011665149,0.010800532,0.0013305569300428,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,diffts-fft,6,0.0106444554403424
0.0016806942,4.6412074e-06,0.002154346,0.0002100867714034375,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,timegan,2,0.0016806941712275
0.0042973855,2.9448473e-05,0.005426645,0.0005371731822378875,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,cgan,2,0.0042973854579031
0.0041885534,2.6096885e-05,0.005108511,0.0005235691787675,0.0,Bobcat_warehouse_Charlie_start8000_2160,40,oridata,2,0.00418855343014
0.002035662,6.5604772e-06,0.002561343,0.000254457758273925,0.0,Bobcat_warehouse_Charlie_start8000_2160,40,wgan,2,0.0020356620661914
0.009290059,9.205154e-05,0.009594349,0.0011612573871389,0.0,Bobcat_warehouse_Charlie_start8000_2160,40,diffts,6,0.0092900590971112
0.010321417,0.00010757563,0.010371868,0.0012901771115139125,0.0,Bobcat_warehouse_Charlie_start8000_2160,40,diffts-fft,6,0.0103214168921113
0.0006649926,8.713495e-07,0.00093346107,8.3124075899825e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,40,timegan,2,0.0006649926071986
0.0005983546,5.977259e-07,0.00077312737,7.47943267924625e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,40,cgan,2,0.0005983546143397
0.001137193,1.9443078e-06,0.0013943844,0.000142149117891675,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,oridata,2,0.0011371929431334
0.0032756208,1.6618593e-05,0.0040765908,0.00040945259388535,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,wgan,2,0.0032756207510828
0.012557234,0.00016124052,0.0126980515,0.0015696542104706125,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,diffts,6,0.0125572336837649
0.0101806875,0.00010518251,0.010255853,0.0012725859414786,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,diffts-fft,6,0.0101806875318288
0.00089942385,1.2932724e-06,0.0011372213,0.0001124279806390375,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,timegan,2,0.0008994238451123
0.0005834275,5.3204315e-07,0.0007294129,7.29284365661375e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,cgan,2,0.0005834274925291
0.0048314943,3.3680833e-05,0.005803519,0.000603936787229025,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,oridata,2,0.0048314942978322
0.0007723487,9.62741e-07,0.0009811936,9.654359018895e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,wgan,2,0.0007723487215116
0.008064507,6.996251e-05,0.00836436,0.00100806332193315,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,diffts,6,0.0080645065754652
0.0108638145,0.000118466676,0.01088424,0.0013579768128693,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,diffts-fft,6,0.0108638145029544
0.0022675316,8.011598e-06,0.0028304765,0.0002834414481185375,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,timegan,2,0.0022675315849483
0.0033467996,1.7696808e-05,0.0042067575,0.0004183499549981125,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,cgan,2,0.0033467996399849
0.01208495,0.00017075485,0.01306732,0.0015106187202036374,0.0,Bobcat_warehouse_Charlie_start8000_2160,80,oridata,2,0.0120849497616291
0.0007313604,9.874216e-07,0.0009936909,9.14200500119375e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,80,wgan,2,0.0007313604000955
0.0098631205,0.00010365648,0.010181183,0.00123289006296545,0.0,Bobcat_warehouse_Charlie_start8000_2160,80,diffts,6,0.0098631205037236
0.0113032935,0.00012889357,0.01135313,0.00141291168984025,0.0,Bobcat_warehouse_Charlie_start8000_2160,80,diffts-fft,6,0.011303293518722
0.0027797518,1.40154025e-05,0.0037437151,0.0003474689729046,0.0,Bobcat_warehouse_Charlie_start8000_2160,80,timegan,2,0.0027797517832368
0.00041216286,2.6630605e-07,0.0005160485,5.15203573741e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,80,cgan,2,0.0004121628589928
0.0071328226,6.211801e-05,0.007881498,0.0008916028309613375,0.0,Bobcat_warehouse_Charlie_start8000_2160,90,oridata,2,0.0071328226476907
0.0020588918,6.5142403e-06,0.002552301,0.000257361476542425,0.0,Bobcat_warehouse_Charlie_start8000_2160,90,wgan,2,0.0020588918123394
0.010289579,0.000110245375,0.01049978,0.001286197337321925,0.0,Bobcat_warehouse_Charlie_start8000_2160,90,diffts,6,0.0102895786985754
0.010443773,0.00011094197,0.0105329,0.0013054716400802125,0.0,Bobcat_warehouse_Charlie_start8000_2160,90,diffts-fft,6,0.0104437731206417
0.00024489095,8.79175e-08,0.00029650886,3.0611368856625e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,90,timegan,2,0.000244890950853
0.0018621413,5.8327746e-06,0.0024151138,0.00023276766296475,0.0,Bobcat_warehouse_Charlie_start8000_2160,90,cgan,2,0.001862141303718
0.110112324,0.045286383,0.21280597,33.87115001678467,0.011160808915571,Cockatoo_assembly_Valencia_start0_2160,20,oridata,2,270.96920013427734
0.0870617,0.045041632,0.21223015,34.573063254356384,0.0165049751966523,Cockatoo_assembly_Valencia_start0_2160,20,wgan,2,276.5845060348511
0.04855642,0.0062326146,0.07894691,12.36915811896324,0.8639093540861715,Cockatoo_assembly_Valencia_start0_2160,20,diffts,6,98.95326495170592
0.08665504,0.01243915,0.11153094,16.175518929958344,0.7283881133805954,Cockatoo_assembly_Valencia_start0_2160,20,diffts-fft,6,129.40415143966675
0.07067243,0.012849872,0.113357276,17.01064109802246,0.7194199245674784,Cockatoo_assembly_Valencia_start0_2160,20,timegan,2,136.0851287841797
0.08362199,0.037752874,0.194301,31.31497204303741,0.1756568627552849,Cockatoo_assembly_Valencia_start0_2160,20,cgan,2,250.5197763442993
0.20354949,0.047397472,0.2177096,19.35792863368988,-0.1953495389977544,Cockatoo_assembly_Valencia_start0_2160,30,oridata,2,154.86342906951904
0.12380261,0.02342573,0.15305467,16.39568954706192,0.4092104602748254,Cockatoo_assembly_Valencia_start0_2160,30,wgan,2,131.16551637649536
0.23724528,0.06470375,0.25436932,19.558705389499664,-0.6318082378390628,Cockatoo_assembly_Valencia_start0_2160,30,diffts,6,156.46964311599731
0.20902841,0.04840663,0.22001506,16.752001643180847,-0.2208001218060149,Cockatoo_assembly_Valencia_start0_2160,30,diffts-fft,6,134.01601314544678
0.13830234,0.031410992,0.17723146,20.541884005069733,0.2078246123479558,Cockatoo_assembly_Valencia_start0_2160,30,timegan,2,164.33507204055786
0.11889327,0.030480167,0.1745857,21.19193524122238,0.2312996465298494,Cockatoo_assembly_Valencia_start0_2160,30,cgan,2,169.53548192977905
