MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs,MAPE_original
0.007947908,9.3914285e-05,0.0096909385,0.000993488472886375,0.0,Bobcat_warehouse_Charlie_start6000_720,80,wgan,2,0.007947907783091
0.01197776,0.00015920127,0.012617499,0.0014972200151532875,0.0,Bobcat_warehouse_Charlie_start6000_720,80,diffts,2,0.0119777601212263
0.012152024,0.00014886269,0.01220093,0.0015190029516816124,0.0,Bobcat_warehouse_Charlie_start6000_720,80,diffts-fft,6,0.0121520236134529
0.004661703,3.4120578e-05,0.005841282,0.0005827128770761125,0.0,Bobcat_warehouse_Charlie_start6000_720,80,timegan,2,0.0046617030166089
0.0044082887,3.309583e-05,0.0057528974,0.000551036093384025,0.0,Bobcat_warehouse_Charlie_start6000_720,80,cgan,2,0.0044082887470722
0.0076614306,6.140803e-05,0.007836327,0.0009576788288541125,0.0,Bobcat_warehouse_Charlie_start6000_720,90,oridata,2,0.0076614306308329
0.00820533,7.89535e-05,0.008885578,0.00102566624991595,0.0,Bobcat_warehouse_Charlie_start6000_720,90,wgan,2,0.0082053299993276
0.017865708,0.00032062372,0.01790597,0.0022332135122269375,0.0,Bobcat_warehouse_Charlie_start6000_720,90,diffts,2,0.0178657080978155
0.012962026,0.00016859683,0.012984484,0.0016202531987801125,0.0,Bobcat_warehouse_Charlie_start6000_720,90,diffts-fft,6,0.0129620255902409
0.00029048728,1.8527366e-07,0.00043043427,3.631091021815e-05,0.0,Bobcat_warehouse_Charlie_start6000_720,90,timegan,2,0.0002904872817452
0.0009956675,1.3761838e-06,0.0011731086,0.0001244584418600375,0.0,Bobcat_warehouse_Charlie_start6000_720,90,cgan,2,0.0009956675348803
0.003147256,1.3565782e-05,0.0036831754,0.0003934070118702875,0.0,Bobcat_warehouse_Charlie_start8000_720,20,oridata,2,0.0031472560949623
0.003519694,2.0813755e-05,0.0045622094,0.00043996176100335,0.0,Bobcat_warehouse_Charlie_start8000_720,20,wgan,2,0.0035196940880268
0.014931258,0.00025806163,0.016064297,0.0018664072267711126,0.0,Bobcat_warehouse_Charlie_start8000_720,20,diffts,2,0.0149312578141689
0.012307036,0.0001535971,0.01239343,0.00153837946709245,0.0,Bobcat_warehouse_Charlie_start8000_720,20,diffts-fft,6,0.0123070357367396
0.004184067,2.3896646e-05,0.0048884195,0.0005230083479546,0.0,Bobcat_warehouse_Charlie_start8000_720,20,timegan,2,0.0041840667836368
0.0027479862,1.0170922e-05,0.0031891882,0.000343498279107725,0.0,Bobcat_warehouse_Charlie_start8000_720,20,cgan,2,0.0027479862328618
0.009884831,0.00012805151,0.011315985,0.00123560382053255,0.0,Bobcat_warehouse_Charlie_start8000_720,30,oridata,2,0.0098848305642604
0.010196518,0.00014395006,0.0119979195,0.0012745647691190126,0.0,Bobcat_warehouse_Charlie_start8000_720,30,wgan,2,0.0101965181529521
0.011122767,0.00016123333,0.012697768,0.0013903458602726375,0.0,Bobcat_warehouse_Charlie_start8000_720,30,diffts,2,0.0111227668821811
0.0074652648,5.879434e-05,0.007667747,0.0009331580949947125,0.0,Bobcat_warehouse_Charlie_start8000_720,30,diffts-fft,6,0.0074652647599577
0.0051052603,3.9843337e-05,0.006312158,0.0006381575367413374,0.0,Bobcat_warehouse_Charlie_start8000_720,30,timegan,2,0.0051052602939307
0.015269048,0.00023890178,0.015456447,0.0019086309475824124,0.0,Bobcat_warehouse_Charlie_start8000_720,30,cgan,2,0.0152690475806593
0.01930994,0.00040800284,0.02019908,0.0024137424770742624,0.0,Bobcat_warehouse_Charlie_start8000_720,40,oridata,2,0.0193099398165941
0.0036361737,1.4660594e-05,0.0038289155,0.000454521708888925,0.0,Bobcat_warehouse_Charlie_start8000_720,40,wgan,2,0.0036361736711114
0.014790274,0.00021996921,0.014831359,0.00184878427535295,0.0,Bobcat_warehouse_Charlie_start8000_720,40,diffts,2,0.0147902742028236
0.01485381,0.00022517094,0.015005697,0.0018567262450233,0.0,Bobcat_warehouse_Charlie_start8000_720,40,diffts-fft,6,0.0148538099601864
0.0013739163,2.532185e-06,0.0015912841,0.0001717395352898125,0.0,Bobcat_warehouse_Charlie_start8000_720,40,timegan,2,0.0013739162823185
0.0022799121,7.4832847e-06,0.0027355594,0.0002849890151992375,0.0,Bobcat_warehouse_Charlie_start8000_720,40,cgan,2,0.0022799121215939
0.012821187,0.00025284258,0.015901025,0.0016026484081521626,0.0,Bobcat_warehouse_Charlie_start8000_720,50,oridata,2,0.0128211872652173
0.0035522813,1.77346e-05,0.004211247,0.0004440351622179125,0.0,Bobcat_warehouse_Charlie_start8000_720,50,wgan,2,0.0035522812977433
0.012752862,0.00018602342,0.01363904,0.00159410771448165,0.0,Bobcat_warehouse_Charlie_start8000_720,50,diffts,2,0.0127528617158532
0.0112450635,0.0001592624,0.012619921,0.00140563293825835,0.0,Bobcat_warehouse_Charlie_start8000_720,50,diffts-fft,6,0.0112450635060668
0.005279274,4.3427728e-05,0.006589972,0.0006599092739634125,0.0,Bobcat_warehouse_Charlie_start8000_720,50,timegan,2,0.0052792741917073
0.0015760013,3.9205565e-06,0.0019800395,0.0001970001612789875,0.0,Bobcat_warehouse_Charlie_start8000_720,50,cgan,2,0.0015760012902319
0.0037964934,1.7857554e-05,0.00422582,0.0004745616752188625,0.0,Bobcat_warehouse_Charlie_start8000_720,70,oridata,2,0.0037964934017509
0.0034180155,1.5969033e-05,0.0039961273,0.0004272519436199125,0.0,Bobcat_warehouse_Charlie_start8000_720,70,wgan,2,0.0034180155489593
0.015962657,0.0002564623,0.01601444,0.001995332073420275,0.0,Bobcat_warehouse_Charlie_start8000_720,70,diffts,2,0.0159626565873622
0.014248366,0.00020524625,0.014326418,0.0017810456920415124,0.0,Bobcat_warehouse_Charlie_start8000_720,70,diffts-fft,6,0.0142483655363321
0.0048635616,3.326974e-05,0.0057679927,0.000607945199590175,0.0,Bobcat_warehouse_Charlie_start8000_720,70,timegan,2,0.0048635615967214
0.0043626465,2.6960111e-05,0.005192313,0.000545330811291925,0.0,Bobcat_warehouse_Charlie_start8000_720,70,cgan,2,0.0043626464903354
0.01041564,0.00012467995,0.0111660175,0.0013019549660384625,0.0,Bobcat_warehouse_Charlie_start8000_720,80,oridata,2,0.0104156397283077
0.0026735633,9.423295e-06,0.0030697386,0.0003341954143252125,0.0,Bobcat_warehouse_Charlie_start8000_720,80,wgan,2,0.0026735633146017
0.017737309,0.00035304573,0.018789511,0.0022171635646373,0.0,Bobcat_warehouse_Charlie_start8000_720,80,diffts,2,0.0177373085170984
0.012671142,0.0001681272,0.012966387,0.001583892735652625,0.0,Bobcat_warehouse_Charlie_start8000_720,80,diffts-fft,6,0.012671141885221
0.0014972338,3.6430667e-06,0.0019086819,0.00018715421902015,0.0,Bobcat_warehouse_Charlie_start8000_720,80,timegan,2,0.0014972337521612
0.0061680335,6.116779e-05,0.007820984,0.0007710041827522125,0.0,Bobcat_warehouse_Charlie_start8000_720,80,cgan,2,0.0061680334620177
