MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs,Building_Type
0.05425665,0.006557699,0.08097962,10.033184289932253,0.8167357189781544,Eagle_education_Edith_start4000_2160,20,diffts-fft,5,Education
0.06527559,0.008564902,0.09254675,11.40795573592186,0.7945493872499232,Eagle_education_Edith_start4000_2160,30,diffts-fft,5,Education
0.06986461,0.009798411,0.09898692,10.76187789440155,0.7840813886620677,Eagle_education_Edith_start4000_2160,40,diffts-fft,5,Education
0.053228293,0.006315038,0.079467215,9.59659293293953,0.8233481992028632,Eagle_education_Edith_start4000_2160,50,diffts-fft,5,Education
0.051509447,0.005957783,0.07718668,9.124796092510223,0.8428356595909605,Eagle_education_Edith_start4000_2160,70,diffts-fft,5,Education
0.07131362,0.01008518,0.100425,13.04311454296112,0.783637304049543,Eagle_education_Edith_start4000_2160,80,diffts-fft,5,Education
0.044717807,0.0035655587,0.0597123,7.76282325387001,0.8670881074911175,Eagle_education_Edith_start4000_2160,90,diffts-fft,5,Education
0.06183964,0.007167059,0.08465848,10.72668582201004,0.7996170811306479,Eagle_education_Edith_start8000_2160,20,diffts-fft,5,Education
0.05464868,0.005820963,0.076295234,10.625497996807098,0.8449890214575884,Eagle_education_Edith_start8000_2160,30,diffts-fft,5,Education
0.047272284,0.0039104577,0.062533654,9.6120186150074,0.903752022594526,Eagle_education_Edith_start8000_2160,40,diffts-fft,5,Education
0.05471975,0.006171368,0.07855806,9.539875388145449,0.8276182490026762,Eagle_education_Edith_start8000_2160,50,diffts-fft,5,Education
0.048979737,0.0044759484,0.066902526,8.22259783744812,0.8718942237948069,Eagle_education_Edith_start8000_2160,70,diffts-fft,5,Education
0.058075562,0.0063060354,0.07941055,10.739722847938538,0.8174442356096807,Eagle_education_Edith_start8000_2160,80,diffts-fft,5,Education
0.046320673,0.003473085,0.058932886,8.518144488334656,0.9082008342505036,Eagle_education_Edith_start8000_2160,90,diffts-fft,5,Education
0.050634615,0.004406593,0.06638217,9.978258609771729,0.8483163081227614,Fox_lodging_Angla_start0_2160,20,diffts-fft,5,Lodging
0.059003126,0.006588396,0.081168935,10.268624126911163,0.7860012626354622,Fox_lodging_Angla_start0_2160,30,diffts-fft,5,Lodging
0.053773474,0.006088235,0.078027144,9.65500921010971,0.8054331328553548,Fox_lodging_Angla_start0_2160,40,diffts-fft,5,Lodging
0.04699068,0.0038463443,0.0620189,8.717447519302368,0.8676968650519301,Fox_lodging_Angla_start0_2160,50,diffts-fft,5,Lodging
0.051340714,0.0047737425,0.06909227,11.520150303840635,0.8105672858328011,Fox_lodging_Angla_start0_2160,70,diffts-fft,5,Lodging
0.055776972,0.0052497713,0.0724553,10.433828085660934,0.827972236477041,Fox_lodging_Angla_start0_2160,80,diffts-fft,5,Lodging
0.045109447,0.003070933,0.055416,7.692747563123703,0.8597587093186426,Fox_lodging_Angla_start0_2160,90,diffts-fft,5,Lodging
0.05403744,0.0054802266,0.07402855,9.112276136875153,0.7908934481670724,Fox_lodging_Angla_start8000_2160,20,diffts-fft,5,Lodging
0.04610723,0.0040347655,0.063519806,8.257914334535599,0.8708713958057244,Fox_lodging_Angla_start8000_2160,30,diffts-fft,5,Lodging
0.0379705,0.002417968,0.049172837,7.894141227006912,0.9221291305194168,Fox_lodging_Angla_start8000_2160,40,diffts-fft,5,Lodging
0.05259852,0.0051462585,0.07173743,8.829005807638168,0.8038058262007843,Fox_lodging_Angla_start8000_2160,50,diffts-fft,5,Lodging
0.048445594,0.003695194,0.060788106,8.58675017952919,0.8334664084497564,Fox_lodging_Angla_start8000_2160,70,diffts-fft,5,Lodging
0.03764889,0.0025617785,0.050614014,7.489347457885742,0.9088000808374962,Fox_lodging_Angla_start8000_2160,80,diffts-fft,5,Lodging
0.048034407,0.0034788793,0.058982026,8.82151648402214,0.8421671613709433,Fox_lodging_Angla_start8000_2160,90,diffts-fft,5,Lodging
0.05319954,0.0053298622,0.07300591,10.561325401067734,0.4134013933849582,Fox_lodging_Frances_start0_2160,20,diffts-fft,5,Lodging
0.05774277,0.0064059626,0.08003726,10.45682728290558,0.2815546200853447,Fox_lodging_Frances_start0_2160,30,diffts-fft,5,Lodging
0.053084087,0.0048616473,0.06972551,10.555506497621536,0.3782929947853263,Fox_lodging_Frances_start0_2160,40,diffts-fft,5,Lodging
0.057510976,0.00640555,0.08003468,11.423379927873611,0.2949995586621677,Fox_lodging_Frances_start0_2160,50,diffts-fft,5,Lodging
0.053425107,0.006043249,0.07773834,11.927878856658936,0.3625786155815749,Fox_lodging_Frances_start0_2160,70,diffts-fft,5,Lodging
0.046203475,0.0040157074,0.06336961,7.263079285621643,0.4835945396086173,Fox_lodging_Frances_start0_2160,80,diffts-fft,5,Lodging
0.053209584,0.004037222,0.06353914,9.316713362932203,0.126181629070063,Fox_lodging_Frances_start0_2160,90,diffts-fft,5,Lodging
0.04899021,0.004335314,0.065843105,8.789832890033722,0.7153260529002936,Fox_lodging_Frances_start4000_2160,20,diffts-fft,5,Lodging
0.046783436,0.0037724143,0.061419982,8.439885079860687,0.7541233204264708,Fox_lodging_Frances_start4000_2160,30,diffts-fft,5,Lodging
0.047062278,0.003746947,0.061212312,8.836409449577332,0.7541336232382442,Fox_lodging_Frances_start4000_2160,40,diffts-fft,5,Lodging
0.04706778,0.00394237,0.06278829,8.804643899202347,0.7410394008651151,Fox_lodging_Frances_start4000_2160,50,diffts-fft,5,Lodging
0.043621015,0.0032955806,0.05740715,7.637700438499451,0.7643814215207582,Fox_lodging_Frances_start4000_2160,70,diffts-fft,5,Lodging
0.04539706,0.0039442326,0.06280313,8.262976258993149,0.7837207846366447,Fox_lodging_Frances_start4000_2160,80,diffts-fft,5,Lodging
0.03924818,0.0025857508,0.05085028,7.13094025850296,0.7676726117578387,Fox_lodging_Frances_start4000_2160,90,diffts-fft,5,Lodging
