MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs,MAPE_original
0.0038971498,1.7817256e-05,0.004221049,0.0004871437267865875,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,Real Data,2,0.0038971498142927
0.0049697543,3.70901e-05,0.006090164,0.0006212192820385,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,VAEGAN,2,0.004969754256308
0.015984004,0.000262254,0.016194258,0.0019980005454272,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,DDPM,2,0.0159840043634176
0.01372661,0.00018853716,0.013730884,0.0017158262198790875,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,cddpm,5,0.0137266097590327
0.0018668718,5.068179e-06,0.0022512616,0.0002333589800400625,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,TIMEGAN,2,0.0018668718403205
0.0005588408,5.109161e-07,0.00071478396,6.98551011737375e-05,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,CGAN,2,0.0005588408093899
0.0012290579,1.7520817e-06,0.0013236622,0.0001536322379251875,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,Real Data,2,0.0012290579034015
0.001022453,1.7239182e-06,0.0013129807,0.00012780661927535,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,VAEGAN,2,0.0010224529542028
0.01522971,0.00023388948,0.015293445,0.0019037137972190874,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,DDPM,2,0.0152297103777527
0.013184254,0.00017388478,0.013186538,0.001648031757213175,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,cddpm,5,0.0131842540577054
0.001593076,4.244182e-06,0.0020601412,0.00019913450523745,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,TIMEGAN,2,0.0015930760418996
0.0028899568,1.297624e-05,0.003602255,0.0003612446016632,0.0,Bobcat_warehouse_Charlie_start4000_2160,50,CGAN,2,0.0028899568133056
0.0029577476,1.36663875e-05,0.0036968077,0.00036971844383515,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,Real Data,2,0.0029577475506812
0.0026716336,1.2018723e-05,0.003466803,0.0003339542017783875,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,VAEGAN,2,0.0026716336142271
0.012662849,0.00016454444,0.012827488,0.001582856173627075,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,DDPM,2,0.0126628493890166
0.011690621,0.00013769483,0.011734344,0.00146132765803485,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,cddpm,5,0.0116906212642788
0.00029925042,1.4924781e-07,0.00038632605,3.74063019989875e-05,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,TIMEGAN,2,0.0002992504159919
0.00092159334,1.3552301e-06,0.0011641436,0.0001151991673395875,0.0,Bobcat_warehouse_Charlie_start4000_2160,70,CGAN,2,0.0009215933387167
0.0015243992,3.2744713e-06,0.00180955,0.000190549893886775,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,Real Data,2,0.0015243991510942
0.00056251744,5.219128e-07,0.0007224353,7.0314679760475e-05,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,VAEGAN,2,0.0005625174380838
0.010331785,0.000114969145,0.010722366,0.0012914731632918,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,DDPM,2,0.0103317853063344
0.012904031,0.00016739212,0.0129380105,0.001613003900274625,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,cddpm,5,0.012904031202197
0.00035618796,1.8508196e-07,0.00043021154,4.452349458005e-05,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,TIMEGAN,2,0.0003561879566404
0.0003218275,1.5830905e-07,0.0003978807,4.02284385927375e-05,0.0,Bobcat_warehouse_Charlie_start4000_2160,90,CGAN,2,0.0003218275087419
0.001277456,1.9019252e-06,0.001379103,0.0001596819929545625,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,Real Data,2,0.0012774559436365
0.0010248675,1.7768958e-06,0.0013330026,0.0001281084405491125,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,VAEGAN,2,0.0010248675243929
0.012599236,0.00016081498,0.012681285,0.001574904541485,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,DDPM,2,0.01259923633188
0.010935254,0.00012057588,0.010980705,0.001366906799376,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,cddpm,5,0.010935254395008
0.0034097137,1.8686673e-05,0.0043228082,0.00042621421744115,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,TIMEGAN,2,0.0034097137395292
0.0007141409,7.4129497e-07,0.0008609849,8.92676107469e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,30,CGAN,2,0.0007141408859752
0.002732733,1.2194401e-05,0.0034920482,0.00034159162896685,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,Real Data,2,0.0027327330317348
0.0005007671,3.9053836e-07,0.00062493066,6.2595885538025e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,VAEGAN,2,0.0005007670843042
0.013420225,0.00018238825,0.013505119,0.0016775281401351,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,DDPM,2,0.0134202251210808
0.011531883,0.00013338792,0.0115493685,0.0014414853649213875,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,cddpm,5,0.0115318829193711
0.0005764201,5.111204e-07,0.00071492686,7.20525131328e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,TIMEGAN,2,0.0005764201050624
0.0014828476,3.5923913e-06,0.0018953604,0.0001853559515438875,0.0,Bobcat_warehouse_Charlie_start8000_2160,50,CGAN,2,0.0014828476123511
0.0035482189,2.065956e-05,0.004545279,0.0004435273585841,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,Real Data,2,0.0035482188686728
0.00033811096,1.713327e-07,0.00041392355,4.22638695454125e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,VAEGAN,2,0.0003381109563633
0.008351878,7.3698175e-05,0.008584764,0.001043984782882025,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,DDPM,2,0.0083518782630562
0.011430804,0.00013099883,0.011445472,0.0014288504607975375,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,cddpm,5,0.0114308036863803
0.0005077541,4.2825263e-07,0.00065441016,6.34692623862e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,TIMEGAN,2,0.0005077540990896
0.000604935,5.814227e-07,0.00076251075,7.561687380075e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,70,CGAN,2,0.000604934990406
0.008013413,8.718128e-05,0.009337092,0.0010016766609624,0.0,Bobcat_warehouse_Charlie_start8000_2160,90,Real Data,2,0.0080134132876992
0.00097180536,1.556077e-06,0.0012474281,0.0001214756703120625,0.0,Bobcat_warehouse_Charlie_start8000_2160,90,VAEGAN,2,0.0009718053624965
0.011732805,0.0001406261,0.011858587,0.0014666005736216875,0.0,Bobcat_warehouse_Charlie_start8000_2160,90,DDPM,2,0.0117328045889735
0.011010897,0.00012202752,0.011046607,0.0013763621682301125,0.0,Bobcat_warehouse_Charlie_start8000_2160,90,cddpm,5,0.0110108973458409
0.00042929564,2.840146e-07,0.0005329302,5.36619554623e-05,0.0,Bobcat_warehouse_Charlie_start8000_2160,90,TIMEGAN,2,0.0004292956436984
0.0013383216,2.1091298e-06,0.0014522844,0.00016729019989725,0.0,Bobcat_warehouse_Charlie_start8000_2160,90,CGAN,2,0.001338321599178
0.22029474,0.05478324,0.2340582,20.714466273784637,-0.3816162325177756,Cockatoo_assembly_Valencia_start0_2160,30,Real Data,2,165.7157301902771
0.15333875,0.03343988,0.18286574,20.181576907634735,0.1566565727466535,Cockatoo_assembly_Valencia_start0_2160,30,VAEGAN,2,161.45261526107788
0.2056596,0.049825553,0.22321638,19.33053582906723,-0.2565850379988612,Cockatoo_assembly_Valencia_start0_2160,30,DDPM,2,154.64428663253784
0.1835991,0.04223716,0.20551682,19.98050808906555,-0.0652079029081242,Cockatoo_assembly_Valencia_start0_2160,30,cddpm,5,159.8440647125244
0.17015564,0.038775176,0.19691414,21.166636049747467,0.0221021463007091,Cockatoo_assembly_Valencia_start0_2160,30,TIMEGAN,2,169.33308839797974
0.08693794,0.042102527,0.205189,26.103535294532776,-0.061812593760921,Cockatoo_assembly_Valencia_start0_2160,30,CGAN,2,208.8282823562622
0.098020114,0.03430328,0.18521145,29.862123727798462,0.2516071767945578,Cockatoo_assembly_Valencia_start0_2160,50,Real Data,2,238.8969898223877
0.11896171,0.026963597,0.16420595,24.38538670539856,0.4117366789135958,Cockatoo_assembly_Valencia_start0_2160,50,VAEGAN,2,195.08309364318848
0.1526523,0.028679665,0.16935071,20.100291073322296,0.3742973152911952,Cockatoo_assembly_Valencia_start0_2160,50,DDPM,2,160.80232858657837
0.07115333,0.009226732,0.09605588,13.96614909172058,0.7987008842290493,Cockatoo_assembly_Valencia_start0_2160,50,cddpm,5,111.72919273376463
0.16815104,0.04124533,0.20308946,27.91568338871002,0.1001527859986897,Cockatoo_assembly_Valencia_start0_2160,50,TIMEGAN,2,223.32546710968015
0.14701475,0.02831365,0.16826661,20.964592695236206,0.382282660547326,Cockatoo_assembly_Valencia_start0_2160,50,CGAN,2,167.71674156188965
0.12774038,0.06017259,0.24530102,51.9834041595459,0.1511712737109098,Cockatoo_assembly_Valencia_start0_2160,70,Real Data,2,415.8672332763672
0.13618425,0.026508402,0.162814,29.65814173221588,0.6260573929768086,Cockatoo_assembly_Valencia_start0_2160,70,VAEGAN,2,237.26513385772705
0.07715587,0.022617048,0.15038966,31.99712336063385,0.6809510535349395,Cockatoo_assembly_Valencia_start0_2160,70,DDPM,2,255.9769868850708
0.05151219,0.009593797,0.09794793,20.203156769275665,0.8646644394823402,Cockatoo_assembly_Valencia_start0_2160,70,cddpm,5,161.62525415420532
