MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,KL_Similarity,Training_Building
0.11166169494390488,0.012861454859375954,0.11340835445140694,16.804482,0.0,Rat_public_Alexander.npy,5,oridata,0.1690807342529297,
0.04368165507912636,0.0021350679453462362,0.04620679544554281,6.573853,0.0,Rat_public_Alexander.npy,5,ours,0.1690807342529297,
0.10585056990385056,0.011741305701434612,0.1083573057132495,15.929939,0.0,Rat_public_Alexander.npy,5,diffts,0.1690807342529297,
0.08388037979602814,0.007885217666625977,0.08879874811406958,12.623543,0.0,Rat_public_Alexander.npy,5,timegan,0.1690807342529297,
0.11426854878664017,0.013331906870007515,0.11546387690532271,17.196798,0.0,Rat_public_Alexander.npy,5,cgan,0.1690807342529297,
0.11900599300861359,0.014574994333088398,0.12072694120654427,17.90976,0.0,Rat_public_Alexander.npy,5,oridata,0.1690807342529297,
0.045811496675014496,0.0022720752749592066,0.047666290761493146,6.894382,0.0,Rat_public_Alexander.npy,5,ours,0.1690807342529297,
0.11144548654556274,0.012922927737236023,0.11367905584247269,16.77194,0.0,Rat_public_Alexander.npy,5,diffts,0.1690807342529297,
0.09340643882751465,0.00937473401427269,0.0968232101010532,14.057162,0.0,Rat_public_Alexander.npy,5,timegan,0.1690807342529297,
0.11991246789693832,0.014644244685769081,0.12101340704966984,18.046177,0.0,Rat_public_Alexander.npy,5,cgan,0.1690807342529297,
0.0964532196521759,0.012618415988981724,0.11233172298590334,14.279391,-0.45463860034942627,Rat_public_Alexander.npy,5,oridata,0.09795060753822327,
0.08590652048587799,0.010158905759453773,0.10079139724923836,12.044172,-0.17110872268676758,Rat_public_Alexander.npy,5,ours,0.09795060753822327,
0.08851226419210434,0.010572368279099464,0.10282202234492115,12.970938,-0.218772292137146,Rat_public_Alexander.npy,5,diffts,0.09795060753822327,
0.08432067930698395,0.00967660453170538,0.09836973381942933,12.227298,-0.1155095100402832,Rat_public_Alexander.npy,5,timegan,0.09795060753822327,
0.09627608954906464,0.012511562556028366,0.11185509624522419,14.239071,-0.44232070446014404,Rat_public_Alexander.npy,5,cgan,0.09795060753822327,
0.13933801651000977,0.01968276873230934,0.1402952911979206,20.969618,0.0,Rat_public_Alexander.npy,5,oridata,0.1690807342529297,
0.026360459625720978,0.0007579636294394732,0.02753113926882564,3.9671068,0.0,Rat_public_Alexander.npy,5,ours,0.1690807342529297,
0.07536403834819794,0.005779890809208155,0.07602559311973932,11.341879,0.0,Rat_public_Alexander.npy,5,diffts,0.1690807342529297,
0.09596893936395645,0.009468353353440762,0.09730546414996828,14.442806,0.0,Rat_public_Alexander.npy,5,timegan,0.1690807342529297,
0.12716491520404816,0.01633857563138008,0.12782243790266276,19.13763,0.0,Rat_public_Alexander.npy,5,cgan,0.1690807342529297,
0.13051117956638336,0.01735801249742508,0.13174981023677065,19.641226,0.0,Rat_public_Alexander.npy,5,oridata,0.1690807342529297,
0.02819422446191311,0.000881617539562285,0.029692045055238026,4.243078,0.0,Rat_public_Alexander.npy,5,ours,0.1690807342529297,
0.07869961857795715,0.006379168946295977,0.07986969980096317,11.843867,0.0,Rat_public_Alexander.npy,5,diffts,0.1690807342529297,
0.09278904646635056,0.008889682590961456,0.09428511330513135,13.96425,0.0,Rat_public_Alexander.npy,5,timegan,0.1690807342529297,
0.12191407382488251,0.015055970288813114,0.12270277213173757,18.347408,0.0,Rat_public_Alexander.npy,5,cgan,0.1690807342529297,
0.21376611292362213,0.12083753943443298,0.34761694353761435,11.495587,-0.2531956434249878,Rat_public_Alexander.npy,5,oridata,0.2173471450805664,
0.11932917684316635,0.03217345103621483,0.17936959339925712,8.149302,0.6663318872451782,Rat_public_Alexander.npy,5,ours,0.2173471450805664,
0.15107163786888123,0.061880502849817276,0.24875792017505147,8.143475,0.35824263095855713,Rat_public_Alexander.npy,5,diffts,0.2173471450805664,
0.17914710938930511,0.08448302000761032,0.2906596291327888,9.588715,0.12383389472961426,Rat_public_Alexander.npy,5,timegan,0.2173471450805664,
0.207756906747818,0.11524937301874161,0.3394839805038547,10.992076,-0.19524133205413818,Rat_public_Alexander.npy,5,cgan,0.2173471450805664,
0.11651720106601715,0.017075208947062492,0.13067214296498889,18.396294,-1.456690788269043,Rat_public_Alexander.npy,5,oridata,0.15523159503936768,
0.06149124354124069,0.0051946938037872314,0.07207422426767583,9.342552,0.25261497497558594,Rat_public_Alexander.npy,5,ours,0.15523159503936768,
0.10038813948631287,0.012698395177721977,0.11268715622342228,15.690901,-0.8269778490066528,Rat_public_Alexander.npy,5,diffts,0.15523159503936768,
0.09507926553487778,0.011825638823211193,0.10874575312724259,14.943454,-0.7014102935791016,Rat_public_Alexander.npy,5,timegan,0.15523159503936768,
0.11770938336849213,0.017413945868611336,0.13196191067353993,18.60101,-1.5054261684417725,Rat_public_Alexander.npy,5,cgan,0.15523159503936768,
0.1276686191558838,0.016704201698303223,0.129244735669594,19.213434,0.0,Rat_public_Alexander.npy,5,oridata,0.1690807342529297,
0.02909107133746147,0.0008993528317660093,0.029989211923056754,4.378049,0.0,Rat_public_Alexander.npy,5,ours,0.1690807342529297,
0.07765509188175201,0.006165113765746355,0.07851823842742751,11.68667,0.0,Rat_public_Alexander.npy,5,diffts,0.1690807342529297,
0.0847853422164917,0.007533682510256767,0.08679678859414539,12.759738,0.0,Rat_public_Alexander.npy,5,timegan,0.1690807342529297,
0.11957180500030518,0.014515036717057228,0.12047836617856846,17.994907,0.0,Rat_public_Alexander.npy,5,cgan,0.1690807342529297,
0.12374297529459,0.015667693689465523,0.12517065826089405,18.622648,0.0,Rat_public_Alexander.npy,5,oridata,0.1690807342529297,
0.03284366428852081,0.0011678426526486874,0.034173712889422586,4.942794,0.0,Rat_public_Alexander.npy,5,ours,0.1690807342529297,
0.0886760726571083,0.008122922852635384,0.0901272592096053,13.345267,0.0,Rat_public_Alexander.npy,5,diffts,0.1690807342529297,
0.08613535761833191,0.007908451370894909,0.08892947414043843,12.962906,0.0,Rat_public_Alexander.npy,5,timegan,0.1690807342529297,
0.11934157460927963,0.014458272606134415,0.1202425573835421,17.960262,0.0,Rat_public_Alexander.npy,5,cgan,0.1690807342529297,
0.12626563012599945,0.020292803645133972,0.14245281199447757,19.8767,-3.308102607727051,Rat_public_Alexander.npy,5,oridata,0.19431139528751373,
0.05938497558236122,0.0046628727577626705,0.06828523089045442,9.270077,0.010085761547088623,Rat_public_Alexander.npy,5,ours,0.19431139528751373,
0.12262075394392014,0.017342137172818184,0.13168954845703656,19.020607,-2.681684970855713,Rat_public_Alexander.npy,5,diffts,0.19431139528751373,
0.10050320625305176,0.013848177157342434,0.11767827818821294,15.765604,-1.939927577972412,Rat_public_Alexander.npy,5,timegan,0.19431139528751373,
0.13066783547401428,0.021356817334890366,0.14613971853979454,20.566536,-3.533989906311035,Rat_public_Alexander.npy,5,cgan,0.19431139528751373,
0.7645168900489807,0.5847123861312866,0.7646648848556383,0.7645169,0.0,Rat_public_Alexander.npy,5,oridata,0.9511414766311646,
0.36840760707855225,0.1358458399772644,0.368572706500718,0.3684076,0.0,Rat_public_Alexander.npy,5,ours,0.9511414766311646,
0.534641444683075,0.2858942747116089,0.5346908216077857,0.53464144,0.0,Rat_public_Alexander.npy,5,diffts,0.9511414766311646,
0.6337324380874634,0.4018307626247406,0.6339012246594422,0.63373244,0.0,Rat_public_Alexander.npy,5,timegan,0.9511414766311646,
0.7446486353874207,0.5546784400939941,0.7447673731400928,0.74464864,0.0,Rat_public_Alexander.npy,5,cgan,0.9511414766311646,
0.12738855183124542,0.0165280532091856,0.12856147638070123,19.171288,0.0,Rat_public_Alexander.npy,5,oridata,0.1690807342529297,
0.03345562890172005,0.0011880708625540137,0.034468403829507596,5.03489,0.0,Rat_public_Alexander.npy,5,ours,0.1690807342529297,
0.08904758095741272,0.008137568831443787,0.09020847427733043,13.401179,0.0,Rat_public_Alexander.npy,5,diffts,0.1690807342529297,
0.0961596891283989,0.009604074992239475,0.09800038261271982,14.471513,0.0,Rat_public_Alexander.npy,5,timegan,0.1690807342529297,
0.1219794973731041,0.015055551193654537,0.12270106435420411,18.357254,0.0,Rat_public_Alexander.npy,5,cgan,0.1690807342529297,
0.11193940788507462,0.012919299304485321,0.11366309561368335,16.846275,0.0,Rat_public_Alexander.npy,5,oridata,0.1690807342529297,
0.043032556772232056,0.0019317253027111292,0.04395139705073241,6.4761667,0.0,Rat_public_Alexander.npy,5,ours,0.1690807342529297,
0.10664547979831696,0.011607039719820023,0.10773597226469914,16.049566,0.0,Rat_public_Alexander.npy,5,diffts,0.1690807342529297,
0.08648264408111572,0.007927780970931053,0.0890380871926787,13.015169,0.0,Rat_public_Alexander.npy,5,timegan,0.1690807342529297,
0.11454695463180542,0.01335840206593275,0.11557855365911425,17.238695,0.0,Rat_public_Alexander.npy,5,cgan,0.1690807342529297,
0.7601727247238159,0.578212320804596,0.7604027359265588,0.7601727,0.0,Rat_public_Alexander.npy,5,oridata,0.9511414766311646,
0.37127622961997986,0.1379731446504593,0.37144736457600463,0.37127623,0.0,Rat_public_Alexander.npy,5,ours,0.9511414766311646,
0.5408430695533752,0.2925788164138794,0.5409055522121023,0.54084307,0.0,Rat_public_Alexander.npy,5,diffts,0.9511414766311646,
0.6355155110359192,0.40415143966674805,0.6357290615244422,0.6355155,0.0,Rat_public_Alexander.npy,5,timegan,0.9511414766311646,
0.7410660982131958,0.54946368932724,0.7412581799395134,0.7410661,0.0,Rat_public_Alexander.npy,5,cgan,0.9511414766311646,
0.11522389203310013,0.013687770813703537,0.11699474694918374,17.340574,0.0,Rat_public_Alexander.npy,5,oridata,0.1690807342529297,
0.04491351544857025,0.0021833814680576324,0.04672666763270876,6.7592406,0.0,Rat_public_Alexander.npy,5,ours,0.1690807342529297,
0.1098267212510109,0.012492024339735508,0.11176772494658513,16.528326,0.0,Rat_public_Alexander.npy,5,diffts,0.1690807342529297,
0.09284112602472305,0.009127617813646793,0.09553856715299217,13.972087,0.0,Rat_public_Alexander.npy,5,timegan,0.1690807342529297,
0.11755304038524628,0.014092102646827698,0.1187101623570101,17.691097,0.0,Rat_public_Alexander.npy,5,cgan,0.1690807342529297,
0.1869441270828247,0.06661371886730194,0.25809633640813645,21.740356,-0.8118939399719238,Rat_public_Alexander.npy,5,oridata,0.23557963967323303,
0.06873048841953278,0.014580030925571918,0.12074779884358935,6.564995,0.603422999382019,Rat_public_Alexander.npy,5,ours,0.23557963967323303,
0.13708628714084625,0.035929299890995026,0.18955025690036673,15.807393,0.022722601890563965,Rat_public_Alexander.npy,5,diffts,0.23557963967323303,
0.15134769678115845,0.04688685014843941,0.21653371596229398,17.29469,-0.2753230333328247,Rat_public_Alexander.npy,5,timegan,0.23557963967323303,
0.1816287338733673,0.06376253813505173,0.2525124514455708,21.0139,-0.7343418598175049,Rat_public_Alexander.npy,5,cgan,0.23557963967323303,
