MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,KL_Similarity,Training_Building
0.08972898125648499,0.01112973690032959,0.10549756821998121,28.393373,0.4720190763473511,Eagle_education_Edith.npy,5,oridata,0.24233290553092957,
0.03675572946667671,0.0028381631709635258,0.0532744138490845,10.897552,0.8653610348701477,Eagle_education_Edith.npy,5,ours,0.24233290553092957,
0.03565337136387825,0.002732742577791214,0.052275640386237394,10.006509,0.8703620433807373,Eagle_education_Edith.npy,5,diffts,0.24233290553092957,
0.04496736079454422,0.0038357325829565525,0.06193329139450408,13.734257,0.8180375695228577,Eagle_education_Edith.npy,5,timegan,0.24233290553092957,
0.07313649356365204,0.008074570447206497,0.08985861365059276,24.261274,0.6169524192810059,Eagle_education_Edith.npy,5,cgan,0.24233290553092957,
0.1572350710630417,0.0312737412750721,0.17684383301396772,24.118454,0.5110973119735718,Eagle_education_Edith.npy,5,oridata,0.4039483666419983,
0.07421203702688217,0.008029435761272907,0.08960711892072475,11.108816,0.8744757175445557,Eagle_education_Edith.npy,5,ours,0.4039483666419983,
0.11179178953170776,0.020065831020474434,0.14165391283150083,10.853276,0.6863106489181519,Eagle_education_Edith.npy,5,diffts,0.4039483666419983,
0.08515390753746033,0.009930571541190147,0.09965225306630125,12.446423,0.8447552919387817,Eagle_education_Edith.npy,5,timegan,0.4039483666419983,
0.1317877471446991,0.02410372905433178,0.15525375697332344,17.191021,0.6231861710548401,Eagle_education_Edith.npy,5,cgan,0.4039483666419983,
0.10360154509544373,0.01694876328110695,0.13018741598598133,20.374931,0.5851892232894897,Eagle_education_Edith.npy,5,oridata,0.042733676731586456,
0.06500244140625,0.009161991998553276,0.09571829500442053,11.469734,0.7757657766342163,Eagle_education_Edith.npy,5,ours,0.042733676731586456,
0.07041570544242859,0.01068195141851902,0.10335352639614684,11.971349,0.7385656833648682,Eagle_education_Edith.npy,5,diffts,0.042733676731586456,
0.07361289113759995,0.01134029496461153,0.10649082103454519,12.717058,0.7224531173706055,Eagle_education_Edith.npy,5,timegan,0.042733676731586456,
0.07653224468231201,0.010963615030050278,0.10470728260274105,13.744699,0.7316721677780151,Eagle_education_Edith.npy,5,cgan,0.042733676731586456,
0.08472397178411484,0.011380880139768124,0.10668120799732314,14.747219,0.6739678382873535,Eagle_education_Edith.npy,5,oridata,0.060802288353443146,
0.04280747100710869,0.004383798688650131,0.066210261203609,7.3748283,0.8744157552719116,Eagle_education_Edith.npy,5,ours,0.060802288353443146,
0.04322265833616257,0.004512843210250139,0.06717769875673131,7.3537054,0.8707189559936523,Eagle_education_Edith.npy,5,diffts,0.060802288353443146,
0.05466063320636749,0.006168288178741932,0.07853845032047635,9.289459,0.8232948184013367,Eagle_education_Edith.npy,5,timegan,0.060802288353443146,
0.05521180480718613,0.006163958925753832,0.07851088412286433,9.26637,0.8234188556671143,Eagle_education_Edith.npy,5,cgan,0.060802288353443146,
0.08352788537740707,0.00974392518401146,0.09871132247119101,21.833458,0.5670435428619385,Eagle_education_Edith.npy,5,oridata,0.12116952985525131,
0.03939876705408096,0.002728024497628212,0.052230493943942476,9.730787,0.8787844181060791,Eagle_education_Edith.npy,5,ours,0.12116952985525131,
0.03861526772379875,0.002720796735957265,0.05216125703965794,9.476657,0.8791055679321289,Eagle_education_Edith.npy,5,diffts,0.12116952985525131,
0.043463535606861115,0.0034315213561058044,0.05857918876278336,10.8945875,0.8475255966186523,Eagle_education_Edith.npy,5,timegan,0.12116952985525131,
0.054663848131895065,0.00507761724293232,0.07125740132037037,15.260439,0.7743838429450989,Eagle_education_Edith.npy,5,cgan,0.12116952985525131,
0.0931541696190834,0.01232883706688881,0.11103529649120053,20.595343,0.545760452747345,Eagle_education_Edith.npy,5,oridata,0.07478358596563339,
0.04647602513432503,0.004376279655843973,0.06615345535831045,9.132932,0.8387618064880371,Eagle_education_Edith.npy,5,ours,0.07478358596563339,
0.04839928075671196,0.004474295303225517,0.06689017344293194,9.798743,0.8351505994796753,Eagle_education_Edith.npy,5,diffts,0.07478358596563339,
0.056841891258955,0.006321148481220007,0.07950565062446824,11.17271,0.7671056985855103,Eagle_education_Edith.npy,5,timegan,0.07478358596563339,
0.06003110855817795,0.006171149201691151,0.07855666236348863,13.222608,0.7726322412490845,Eagle_education_Edith.npy,5,cgan,0.07478358596563339,
0.08256154507398605,0.009590741246938705,0.0979323299372516,26.230574,0.5081027746200562,Eagle_education_Edith.npy,5,oridata,0.20850352942943573,
0.038555048406124115,0.002774070017039776,0.0526694410169671,11.052542,0.8577213883399963,Eagle_education_Edith.npy,5,ours,0.20850352942943573,
0.03612689673900604,0.0026942575350403786,0.051906237920315304,9.871989,0.8618148565292358,Eagle_education_Edith.npy,5,diffts,0.20850352942943573,
0.04448041319847107,0.0036977529525756836,0.060809151881733095,13.715431,0.8103468418121338,Eagle_education_Edith.npy,5,timegan,0.20850352942943573,
0.06741251796483994,0.00719118257984519,0.08480084067888237,22.442513,0.6311732530593872,Eagle_education_Edith.npy,5,cgan,0.20850352942943573,
0.08091897517442703,0.008627679198980331,0.09288530130747454,21.642487,0.44997429847717285,Eagle_education_Edith.npy,5,oridata,0.16736796498298645,
0.0322767049074173,0.00199467153288424,0.04466174574380451,7.8888917,0.8728371262550354,Eagle_education_Edith.npy,5,ours,0.16736796498298645,
0.031408995389938354,0.0018869179766625166,0.04343866914009356,7.5933576,0.8797065615653992,Eagle_education_Edith.npy,5,diffts,0.16736796498298645,
