MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,KL_Similarity,Training_Building
0.1423226147890091,0.03206432983279228,0.1790651552725775,266.72043,0.7026469707489014,Cockatoo_industrial_Nathaniel.npy,5,oridata,0.09661678224802017,
0.04400456324219704,0.004739170894026756,0.06884163634042088,36.129932,0.9560506343841553,Cockatoo_industrial_Nathaniel.npy,5,ours,0.09661678224802017,
0.06256129592657089,0.008645361289381981,0.09298043498167763,83.291504,0.9198260307312012,Cockatoo_industrial_Nathaniel.npy,5,diffts,0.09661678224802017,
0.0947904959321022,0.016837995499372482,0.12976130201016203,159.99002,0.8438504934310913,Cockatoo_industrial_Nathaniel.npy,5,timegan,0.09661678224802017,
0.10432235151529312,0.019385356456041336,0.13923130558908559,168.34569,0.8202272057533264,Cockatoo_industrial_Nathaniel.npy,5,cgan,0.09661678224802017,
0.18153099715709686,0.051697663962841034,0.22737120302017366,424.0158,0.4018663763999939,Cockatoo_industrial_Nathaniel.npy,5,oridata,0.18893519043922424,
0.0719609409570694,0.011997363530099392,0.10953247705634796,80.72427,0.8611924648284912,Cockatoo_industrial_Nathaniel.npy,5,ours,0.18893519043922424,
0.1077914610505104,0.023809466511011124,0.15430316429357865,180.39848,0.7245283126831055,Cockatoo_industrial_Nathaniel.npy,5,diffts,0.18893519043922424,
0.1189613938331604,0.02541700191795826,0.1594271053427185,208.18723,0.7059293985366821,Cockatoo_industrial_Nathaniel.npy,5,timegan,0.18893519043922424,
0.14403098821640015,0.039130497723817825,0.19781430111045517,244.67955,0.5472664833068848,Cockatoo_industrial_Nathaniel.npy,5,cgan,0.18893519043922424,
0.18137110769748688,0.04985979571938515,0.22329307136448534,556.0089,0.15901082754135132,Cockatoo_industrial_Nathaniel.npy,5,oridata,0.2723972797393799,
0.06108340993523598,0.006895885802805424,0.08304147037959662,150.11049,0.8836865425109863,Cockatoo_industrial_Nathaniel.npy,5,ours,0.2723972797393799,
0.10860137641429901,0.02161775901913643,0.14702978956366777,281.4279,0.6353715658187866,Cockatoo_industrial_Nathaniel.npy,5,diffts,0.2723972797393799,
0.11661657691001892,0.019390717148780823,0.13925055529074498,288.34875,0.6729352474212646,Cockatoo_industrial_Nathaniel.npy,5,timegan,0.2723972797393799,
0.1266970932483673,0.028355255722999573,0.16839018891550533,252.15755,0.5217296481132507,Cockatoo_industrial_Nathaniel.npy,5,cgan,0.2723972797393799,
0.2379424124956131,0.08091766387224197,0.2844603028055795,431.63943,-0.2033672332763672,Cockatoo_industrial_Nathaniel.npy,5,oridata,0.26346924901008606,
0.13096129894256592,0.030672302469611168,0.17513509776629918,162.85794,0.5438567399978638,Cockatoo_industrial_Nathaniel.npy,5,ours,0.26346924901008606,
0.20185403525829315,0.06220528855919838,0.2494098806366708,341.95715,0.07491379976272583,Cockatoo_industrial_Nathaniel.npy,5,diffts,0.26346924901008606,
0.1598232388496399,0.0425771102309227,0.20634221630806115,182.06438,0.36681437492370605,Cockatoo_industrial_Nathaniel.npy,5,timegan,0.26346924901008606,
0.20172934234142303,0.06694995611906052,0.2587468958636229,278.97726,0.004353463649749756,Cockatoo_industrial_Nathaniel.npy,5,cgan,0.26346924901008606,
0.23181268572807312,0.0834897831082344,0.2889459864892302,556.41565,0.2468588948249817,Cockatoo_industrial_Nathaniel.npy,5,oridata,0.18650010228157043,
0.11458630114793777,0.02633023075759411,0.16226592605224952,161.39531,0.7624813318252563,Cockatoo_industrial_Nathaniel.npy,5,ours,0.18650010228157043,
0.16273753345012665,0.04958974942564964,0.2226875601052956,374.3905,0.5526628494262695,Cockatoo_industrial_Nathaniel.npy,5,diffts,0.18650010228157043,
0.1413949728012085,0.03562447801232338,0.18874447809756814,243.93561,0.6786402463912964,Cockatoo_industrial_Nathaniel.npy,5,timegan,0.18650010228157043,
0.19618119299411774,0.07014180719852448,0.2648429859341653,389.86795,0.3672677278518677,Cockatoo_industrial_Nathaniel.npy,5,cgan,0.18650010228157043,
0.23625724017620087,0.07726620882749557,0.27796799964653407,477.8029,-0.3833184242248535,Cockatoo_industrial_Nathaniel.npy,5,oridata,0.32103535532951355,
0.10291139781475067,0.016985906288027763,0.1303299899793895,162.21004,0.6958966255187988,Cockatoo_industrial_Nathaniel.npy,5,ours,0.32103535532951355,
0.1918797641992569,0.05401947349309921,0.2324208972814175,371.85648,0.032874345779418945,Cockatoo_industrial_Nathaniel.npy,5,diffts,0.32103535532951355,
0.1410345733165741,0.028681358322501183,0.1693557153523352,214.07635,0.48650968074798584,Cockatoo_industrial_Nathaniel.npy,5,timegan,0.32103535532951355,
