MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs,KL_Similarity
0.29560941457748413,0.09868858754634857,0.314147397802924,270.98285,0.26646697521209717,Cockatoo_industrial_Nathaniel_start8000_720,50,oridata,5,2.574172632747774
0.03568953275680542,0.004116305615752935,0.064158441500343,14.091915,0.9694042801856995,Cockatoo_industrial_Nathaniel_start8000_720,50,ours,90,2.574172632747774
0.03546719625592232,0.003371414029970765,0.05806387887465636,16.171522,0.9749409556388855,Cockatoo_industrial_Nathaniel_start8000_720,50,diffts,70,2.574172632747774
0.12171405553817749,0.023877402767539024,0.1545231463811782,104.16357,0.8225239515304565,Cockatoo_industrial_Nathaniel_start8000_720,50,timegan,5,2.574172632747774
0.14581499993801117,0.03812456503510475,0.19525512806352807,93.04653,0.7166275382041931,Cockatoo_industrial_Nathaniel_start8000_720,50,cgan,5,2.574172632747774
0.19046571850776672,0.05023074895143509,0.2241221741627434,1219.2516,0.06906133890151978,Cockatoo_industrial_Nathaniel_start4000_720,50,oridata,5,2.0748702546987308
0.11111701279878616,0.025905344635248184,0.16095137351153044,166.61823,0.5198899507522583,Cockatoo_industrial_Nathaniel_start4000_720,50,ours,90,2.0748702546987308
0.11313121765851974,0.02492232620716095,0.15786806582447557,220.5532,0.5381084680557251,Cockatoo_industrial_Nathaniel_start4000_720,50,diffts,70,2.0748702546987308
0.11310504376888275,0.028550468385219574,0.16896883850349323,346.57635,0.47086721658706665,Cockatoo_industrial_Nathaniel_start4000_720,50,timegan,5,2.0748702546987308
0.14929687976837158,0.04238399863243103,0.20587374439794656,290.91162,0.21448707580566406,Cockatoo_industrial_Nathaniel_start4000_720,50,cgan,5,2.0748702546987308
0.1706368625164032,0.04359223693609238,0.20878754018401668,1037.0789,0.47257304191589355,Cockatoo_industrial_Nathaniel_start8000_2160,50,oridata,5,2.564420922520761
0.05870211124420166,0.010559726506471634,0.1027605299055607,253.68857,0.8722367882728577,Cockatoo_industrial_Nathaniel_start8000_2160,50,ours,90,2.564420922520761
0.09249107539653778,0.019370805472135544,0.1391790410663026,209.82272,0.7656306028366089,Cockatoo_industrial_Nathaniel_start8000_2160,50,diffts,70,2.564420922520761
0.09319395571947098,0.016506636515259743,0.12847815579023442,364.99664,0.8002845048904419,Cockatoo_industrial_Nathaniel_start8000_2160,50,timegan,5,2.564420922520761
0.13913309574127197,0.034788861870765686,0.18651772535275485,568.8347,0.5790859460830688,Cockatoo_industrial_Nathaniel_start8000_2160,50,cgan,5,2.564420922520761
0.3088904619216919,0.11647568643093109,0.34128534458855847,3788.9512,-0.1365349292755127,Cockatoo_industrial_Nathaniel_start2000_720,50,oridata,5,2.841061120239538
0.1434900164604187,0.044784776866436005,0.21162414055687503,1210.0214,0.5630035400390625,Cockatoo_industrial_Nathaniel_start2000_720,50,ours,90,2.841061120239538
0.16900913417339325,0.06449434906244278,0.2539573764678687,790.81744,0.3706834316253662,Cockatoo_industrial_Nathaniel_start2000_720,50,diffts,70,2.841061120239538
0.1668187528848648,0.04487009346485138,0.21182562041653832,1085.1704,0.5621711015701294,Cockatoo_industrial_Nathaniel_start2000_720,50,timegan,5,2.841061120239538
0.18985755741596222,0.06999644637107849,0.2645684152938111,708.0508,0.3169955611228943,Cockatoo_industrial_Nathaniel_start2000_720,50,cgan,5,2.841061120239538
0.27643778920173645,0.09417281299829483,0.30687589184928626,2099.6536,0.12951993942260742,Cockatoo_industrial_Nathaniel_start6000_720,50,oridata,5,2.3106329995799624
0.08001536130905151,0.01390890683978796,0.11793602859087617,272.92633,0.8714339733123779,Cockatoo_industrial_Nathaniel_start6000_720,50,ours,90,2.3106329995799624
0.08544521033763885,0.01832328923046589,0.13536354468787337,198.62875,0.8306299448013306,Cockatoo_industrial_Nathaniel_start6000_720,50,diffts,70,2.3106329995799624
0.12055854499340057,0.025107093155384064,0.1584521793961322,428.97736,0.7679243087768555,Cockatoo_industrial_Nathaniel_start6000_720,50,timegan,5,2.3106329995799624
0.2260793298482895,0.0767124593257904,0.27697014157809574,1021.90247,0.29091358184814453,Cockatoo_industrial_Nathaniel_start6000_720,50,cgan,5,2.3106329995799624
0.11868363618850708,0.02361530438065529,0.15367271840068195,307.5089,0.6390842199325562,Cockatoo_industrial_Nathaniel_start4000_2160,50,oridata,5,1.9739273304503744
0.09086643159389496,0.017099568620324135,0.13076531887440238,96.4078,0.7386650443077087,Cockatoo_industrial_Nathaniel_start4000_2160,50,ours,90,1.9739273304503744
0.08185626566410065,0.014382009394466877,0.11992501571593342,112.022255,0.7801978588104248,Cockatoo_industrial_Nathaniel_start4000_2160,50,diffts,70,1.9739273304503744
0.11379597336053848,0.024725450202822685,0.15724328349033762,117.85333,0.6221176981925964,Cockatoo_industrial_Nathaniel_start4000_2160,50,timegan,5,1.9739273304503744
0.13569064438343048,0.029042309150099754,0.17041804232562863,300.85974,0.5561425685882568,Cockatoo_industrial_Nathaniel_start4000_2160,50,cgan,5,1.9739273304503744
