MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,KL_Similarity,Training_Building
0.0892867073416709,0.0104703195393085,0.102324579350753,28.298903,-0.9519914388656616,Fox_lodging_Frances.npy,5,oridata,0.1371309906244278,
0.0510925613343715,0.0040341154672205,0.0635146870197794,15.909492,0.2479161024093628,Fox_lodging_Frances.npy,5,ours,0.1371309906244278,
0.0507207922637462,0.0037638798821717,0.061350467660579,15.873812,0.2982963919639587,Fox_lodging_Frances.npy,5,diffts,0.1371309906244278,
0.0693952515721321,0.0065449425019323,0.0809008189200355,21.463991,-0.2201796770095825,Fox_lodging_Frances.npy,5,timegan,0.1371309906244278,
0.0846876502037048,0.0093760387971997,0.0968299478322679,26.6915,-0.7479835748672485,Fox_lodging_Frances.npy,5,cgan,0.1371309906244278,
0.0575928501784801,0.0056577618233859,0.0752180950528923,14.313039,0.0924556851387023,Fox_lodging_Frances.npy,5,oridata,0.0555783323943614,
0.0360877066850662,0.0023023162502795,0.04798245773488,8.65652,0.6306924819946289,Fox_lodging_Frances.npy,5,ours,0.0555783323943614,
0.0336304306983947,0.001995065016672,0.0446661506811591,8.10118,0.6799777150154114,Fox_lodging_Frances.npy,5,diffts,0.0555783323943614,
0.0532599538564682,0.0048780213110148,0.069842832925182,12.779996,0.2175315022468567,Fox_lodging_Frances.npy,5,timegan,0.0555783323943614,
0.0551058053970336,0.0050237081013619,0.070878121457626,13.882533,0.1941623091697693,Fox_lodging_Frances.npy,5,cgan,0.0555783323943614,
0.1259586662054062,0.0188354328274726,0.1372422414108451,25.197727,-2.109487295150757,Fox_lodging_Frances.npy,5,oridata,0.1901509165763855,
0.0363561362028121,0.0030387339647859,0.0551247128317774,7.87204,0.4983441829681396,Fox_lodging_Frances.npy,5,ours,0.1901509165763855,
0.0418331362307071,0.0033157353755086,0.057582422452591,8.547733,0.4526147842407226,Fox_lodging_Frances.npy,5,diffts,0.1901509165763855,
0.0874314904212951,0.0105403326451778,0.1026661221882751,18.77676,-0.7400732040405273,Fox_lodging_Frances.npy,5,timegan,0.1901509165763855,
0.0762067958712577,0.0085394382476806,0.0924090809806085,17.006735,-0.409751296043396,Fox_lodging_Frances.npy,5,cgan,0.1901509165763855,
0.1416768580675125,0.023337697610259,0.152766807946815,22.101748,-4.77364444732666,Fox_lodging_Frances.npy,5,oridata,0.2338416129350662,
0.0437545217573642,0.0033209468238055,0.0576276567613639,7.061219,0.1784122586250305,Fox_lodging_Frances.npy,5,ours,0.2338416129350662,
0.0530871115624904,0.0043200859799981,0.0657273609693718,8.547246,-0.0687704086303711,Fox_lodging_Frances.npy,5,diffts,0.2338416129350662,
0.0976035743951797,0.0120823811739683,0.1099198852527071,15.136032,-1.989128351211548,Fox_lodging_Frances.npy,5,timegan,0.2338416129350662,
0.0883640572428703,0.0099309040233492,0.0996539212642898,13.737742,-1.456862211227417,Fox_lodging_Frances.npy,5,cgan,0.2338416129350662,
0.0423229448497295,0.0039534270763397,0.0628762838941657,10.2072315,-0.0020672082901,Fox_lodging_Frances.npy,5,oridata,0.0496548675000667,
0.030622499063611,0.0021201283670961,0.0460448516893711,7.57647,0.4626153111457824,Fox_lodging_Frances.npy,5,ours,0.0496548675000667,
0.0301667675375938,0.0020105298608541,0.0448389324232206,7.471291,0.4903950095176697,Fox_lodging_Frances.npy,5,diffts,0.0496548675000667,
0.0429763719439506,0.0039083715528249,0.0625169701187203,10.242913,0.0093528628349304,Fox_lodging_Frances.npy,5,timegan,0.0496548675000667,
0.0400772951543331,0.0032644565217196,0.057135422652849,10.116928,0.1725647449493408,Fox_lodging_Frances.npy,5,cgan,0.0496548675000667,
0.0657280460000038,0.0078605562448501,0.0886597780554979,11.758032,-0.4429905414581299,Fox_lodging_Frances.npy,5,oridata,0.0888296216726303,
0.0351118892431259,0.0023938624653965,0.0489271138061149,6.6780863,0.5605500936508179,Fox_lodging_Frances.npy,5,ours,0.0888296216726303,
0.0293283015489578,0.0016505785752087,0.0406273131674835,5.585099,0.6969974040985107,Fox_lodging_Frances.npy,5,diffts,0.0888296216726303,
0.0530296899378299,0.0051315575838088,0.0716348908270885,9.588606,0.0579814910888671,Fox_lodging_Frances.npy,5,timegan,0.0888296216726303,
0.0415720008313655,0.0035351875703781,0.0594574433555478,7.602839,0.3510329127311706,Fox_lodging_Frances.npy,5,cgan,0.0888296216726303,
0.0586511641740798,0.0065888501703739,0.0811717325820628,11.244132,-0.2392598390579223,Fox_lodging_Frances.npy,5,oridata,0.0683000609278678,
0.0341757498681545,0.0022507328540086,0.047441889233131,7.0436945,0.5766723155975342,Fox_lodging_Frances.npy,5,ours,0.0683000609278678,
0.033919557929039,0.0020530498586595,0.045310593227848,7.0628138,0.6138533353805542,Fox_lodging_Frances.npy,5,diffts,0.0683000609278678,
0.0623856522142887,0.007388433907181,0.085955999832362,11.830718,-0.3896490335464477,Fox_lodging_Frances.npy,5,timegan,0.0683000609278678,
0.0518298409879207,0.0048941923305392,0.0699585043475003,10.325724,0.0794788002967834,Fox_lodging_Frances.npy,5,cgan,0.0683000609278678,
0.0827425047755241,0.0105238491669297,0.1025858136728939,15.015462,-0.9470986127853394,Fox_lodging_Frances.npy,5,oridata,0.1103877425193786,
0.0360046662390232,0.0022912372369319,0.04786686993038,7.1593547,0.5760805010795593,Fox_lodging_Frances.npy,5,ours,0.1103877425193786,
0.0322582945227623,0.0018783061532303,0.0433394295443579,6.5073757,0.6524801254272461,Fox_lodging_Frances.npy,5,diffts,0.1103877425193786,
0.0742242038249969,0.0086274920031428,0.0928842936299934,13.562277,-0.5962388515472412,Fox_lodging_Frances.npy,5,timegan,0.1103877425193786,
0.0546233691275119,0.0053256712853908,0.0729771970233911,10.096201,0.0146564841270446,Fox_lodging_Frances.npy,5,cgan,0.1103877425193786,
0.0863723009824752,0.0096736522391438,0.0983547265724624,26.957241,-0.5180618762969971,Fox_lodging_Frances.npy,5,oridata,0.1192681267857551,
0.047547809779644,0.0032610797788947,0.0571058646628766,14.458348,0.4882469177246094,Fox_lodging_Frances.npy,5,ours,0.1192681267857551,
0.0466622225940227,0.003085661213845,0.055548728282878,14.308893,0.5157749056816101,Fox_lodging_Frances.npy,5,diffts,0.1192681267857551,
