Method,Sparsity,KL_oridata,MMD_oridata,KL_testdata,MMD_testdata
cgan,30,0.6800442060905344,0.3858793707810485,0.5567129771525356,0.3738570423151167
cgan,50,0.6303425490496691,0.3948430625785285,0.6813193695021186,0.41434936966135194
cgan,70,0.3716612689835556,0.3022753253923574,0.6371826133275469,0.3262389804205978
cgan,90,0.3623828430538739,0.2943911450356614,1.459886176813537,0.36035829832403654
diffts,30,0.3558888139948461,0.08969305042053581,0.7329605615120897,0.21054408026251661
diffts,50,0.33314100360204424,0.11041199453065709,0.8270501655474192,0.244357661011717
diffts,70,0.29628861035505333,0.12075601395115584,0.9210474185095301,0.2684780058622974
diffts,90,0.2900182848231435,0.12991025557404318,1.378247659080089,0.2902437857293439
diffts-fft,30,0.28809533654880737,0.0625067024406631,0.606863964195058,0.1886731242408351
diffts-fft,50,0.2874012537804913,0.06393570977561061,0.7425985682657049,0.20987106609410328
diffts-fft,70,0.2337328194206938,0.06905516957355684,0.8238521058932949,0.2303410420160466
diffts-fft,90,0.24963617255508352,0.07143387880169669,1.3131009196549297,0.25203713658701565
timegan,30,0.4560587774342838,0.22945912524771578,0.34025585392359636,0.22032629890317726
timegan,50,0.3106037004694941,0.18871315724109466,0.4392409037120875,0.19702210886741098
timegan,70,0.29809525848894597,0.19366163009185547,0.6586478622021372,0.24448862308635083
timegan,90,0.243382321406921,0.17212922115005275,1.1708862175042676,0.2683317760110838
wgan,30,0.834478409326296,0.38075280556391417,0.6936940980606947,0.36954282662750293
wgan,50,0.8343114791322629,0.39452513296552727,0.8774251861200371,0.4015046732639057
wgan,70,0.8251019011416517,0.4341716301458626,1.1761178834925072,0.4717960306171138
wgan,90,0.90714161354135,0.42564640145139665,1.8255098680939104,0.5064927443149434
