Building,Sparsity,Method,KL_oridata,MMD_oridata,KL_testdata,MMD_testdata
Bobcat_other_Howard_start8000_4320,30,diffts-fft,0.6415171822571695,0.0552996135364369,0.4023175149259309,0.15778953723437047
Bobcat_other_Howard_start8000_4320,30,diffts,0.7372174409228677,0.08079863251650837,0.4761889807974568,0.17747243588558934
Bobcat_other_Howard_start8000_4320,30,timegan,0.8695332182098106,0.21269375300472226,0.2678296630326608,0.1864541087349036
Bobcat_other_Howard_start8000_4320,30,cgan,0.9175420332699793,0.19084529665549121,0.5835363164522499,0.204906554033317
Bobcat_other_Howard_start8000_4320,30,wgan,2.9051614311622957,0.8953226093808875,2.570075813858645,0.8281648716808847
Bobcat_other_Howard_start8000_4320,50,diffts-fft,0.3325117998757719,0.07118774747421232,0.5152607652045276,0.17591680290902614
Bobcat_other_Howard_start8000_4320,50,diffts,0.4752858101777178,0.14489927887288073,0.5865367996915332,0.22470488282387613
Bobcat_other_Howard_start8000_4320,50,timegan,0.3982888882998114,0.1849259294098763,0.4176943762839349,0.18097991500863275
Bobcat_other_Howard_start8000_4320,50,cgan,0.6261013074154868,0.4404876525767129,0.539625479121343,0.4169729602837475
Bobcat_other_Howard_start8000_4320,50,wgan,0.7192677104880137,0.45792622068982614,0.7476807474282164,0.47395519296735744
Bobcat_other_Howard_start8000_4320,70,diffts-fft,0.2380793269834259,0.09383039602690486,0.4739345066562035,0.21579815729996019
Bobcat_other_Howard_start8000_4320,70,diffts,0.4272426065941862,0.1810109752781319,0.6098327463486242,0.2925344664675607
Bobcat_other_Howard_start8000_4320,70,timegan,0.35154061081420845,0.12496686914094299,0.5002460154107354,0.20725089557168472
Bobcat_other_Howard_start8000_4320,70,cgan,0.6652945861956117,0.3401229813646198,0.697147682453716,0.3683530248643952
Bobcat_other_Howard_start8000_4320,70,wgan,0.37304481837538167,0.17847519966725342,0.4353480686555746,0.19676903263649806
Bobcat_other_Howard_start8000_4320,90,diffts-fft,0.29175971980002086,0.11218678196054228,0.5505505562478222,0.255630192864978
Bobcat_other_Howard_start8000_4320,90,diffts,0.3949258067837133,0.1909262481758592,0.6275178104063618,0.3191776809204858
Bobcat_other_Howard_start8000_4320,90,timegan,0.27007318388075874,0.2767013238924012,0.4554239485157622,0.2904526588725275
Bobcat_other_Howard_start8000_4320,90,cgan,0.34025372478215243,0.19886979274898403,0.5128857450234332,0.2592279675804406
Bobcat_other_Howard_start8000_4320,90,wgan,1.9423573743009865,0.8734214633790672,1.7901496491163302,0.9635407830497543
Cockatoo_assembly_Valencia_start8000_4320,30,diffts-fft,0.17153185536668406,0.06149442936495773,0.20500318054632596,0.22745273852593587
Cockatoo_assembly_Valencia_start8000_4320,30,diffts,0.20899236921921163,0.09595930303037725,0.22198818957537306,0.2580689983708425
Cockatoo_assembly_Valencia_start8000_4320,30,timegan,0.7159686130704583,0.30768728519736027,0.31020435293474624,0.3062646816817272
Cockatoo_assembly_Valencia_start8000_4320,30,cgan,0.6575573806751162,0.2776037129977183,0.18259796735357162,0.25551908345396906
Cockatoo_assembly_Valencia_start8000_4320,30,wgan,0.8631141986611979,0.312180083942585,0.2644505739316631,0.3085813252076331
Cockatoo_assembly_Valencia_start8000_4320,50,diffts-fft,0.1302350619215904,0.05123745074139544,0.26301402504654875,0.2770646989953884
Cockatoo_assembly_Valencia_start8000_4320,50,diffts,0.1279842406209528,0.10482121317772451,0.30218501599964975,0.3148627059910134
Cockatoo_assembly_Valencia_start8000_4320,50,timegan,0.31042024248387934,0.28726742951118134,0.26341999695884055,0.29083899969615723
Cockatoo_assembly_Valencia_start8000_4320,50,cgan,0.4212825800237708,0.2386327683479394,0.283647109344379,0.30404172888098907
Cockatoo_assembly_Valencia_start8000_4320,50,wgan,0.396470003795284,0.22149075983687375,0.3034836881018368,0.20640762512241925
Cockatoo_assembly_Valencia_start8000_4320,70,diffts-fft,0.11863404237628812,0.04844424987669522,0.6659055653162802,0.26389805949611134
Cockatoo_assembly_Valencia_start8000_4320,70,diffts,0.1113198526887329,0.08018441441576674,0.6325375348856735,0.285022019016231
