MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs
0.0042149834,2.498602e-05,0.004998602,0.004214983433485031,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,oridata,2
0.0024312823,9.405492e-06,0.0030668376,0.0024312823079526424,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,wgan,2
0.011831951,0.0001473404,0.012138385,0.011831951327621937,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,diffts,2
0.012133338,0.00014765008,0.012151135,0.012133337557315826,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,diffts-fft,6
0.00041063732,2.9790337e-07,0.00054580526,0.0004106373235117644,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,timegan,2
0.0008169729,1.1668077e-06,0.0010801888,0.0008169729262590408,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,cgan,2
0.005444872,5.040741e-05,0.0070998175,0.005444872193038464,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,oridata,2
0.0014246292,3.4869565e-06,0.0018673395,0.0014246292412281036,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,wgan,2
0.014139878,0.00020168438,0.014201563,0.014139877632260323,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,diffts,2
0.013838701,0.00019168896,0.013845178,0.013838700950145721,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,diffts-fft,6
0.0016922951,4.4384633e-06,0.002106766,0.0016922950744628906,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,timegan,2
0.0034782728,1.9586527e-05,0.0044256668,0.003478272818028927,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,cgan,2
0.0071708295,8.252372e-05,0.009084256,0.007170829456299543,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,oridata,2
0.0007450742,9.596048e-07,0.0009795942,0.0007450741832144558,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,wgan,2
0.013920813,0.00019790464,0.014067858,0.013920812867581844,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,diffts,2
