Method,Sparsity,KL_oridata,MMD_oridata,KL_testdata,MMD_testdata
CDDM,100,0.47340868718477896,0.10245762331337739,0.3568054077624707,0.25171920447344116
CDDM,300,0.3091897045433725,0.13100226899222553,0.46304093691520265,0.24776298992410214
CDDM,500,0.23865152272876974,0.15067505926108107,0.5049245025211185,0.23396733537136785
cgan,100,1.0201291359103335,0.25270311259911216,0.31139523896821497,0.34458560447489452
cgan,300,0.4726426534354713,0.36828476294678764,0.5048391310292736,0.36000295945201616
cgan,500,0.5366614597820024,0.34584163538492296,0.6552935504589641,0.3488130558760985
ours,100,0.7832329408815434,0.20258304671815405,0.22208535505123014,0.14710873649545471
ours,300,0.33916376811291166,0.21220193468612122,0.4187517509778235,0.14278940700273586
ours,500,0.23616784175163918,0.16756175875074705,0.4621442107857258,0.14008333478832904
timegan,100,0.8837165369916246,0.2005916782601261,0.2770256319067362,0.23109871121836567
timegan,300,0.5566295181603645,0.18643491250971958,0.5111421303845349,0.21147331899039053
timegan,500,0.3867497542191411,0.18441772391367242,0.518009288041002,0.20055711003754396
