MAE,MSE,RMSE,MAPE,R2,Building,Sparsity,Method,Epochs,MAPE_original
0.001077243941836,1.9207348032068694e-06,0.0013859057699594,0.0001346554927295,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,oridata,2,0.001077243941836
0.0028908434323966,1.346468798146816e-05,0.0036694261106429,0.000361355429049575,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,wgan,2,0.0028908434323966
0.0143133392557501,0.0002082668361254,0.0144314530150433,0.0017891674069687624,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,diffts,2,0.0143133392557501
0.0121701806783676,0.0001487952977186,0.0121981678017072,0.00152127258479595,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,diffts-fft,5,0.0121701806783676
0.0018609903054311,5.557226813834859e-06,0.002357377104715,0.0002326237881788875,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,timegan,2,0.0018609903054311
0.0018671131692826,5.576704552368028e-06,0.0023615047220719,0.000233389146160325,0.0,Bobcat_warehouse_Charlie_start4000_2160,20,cgan,2,0.0018671131692826
0.0035273341927677,1.93074101844104e-05,0.0043940198206665,0.0004409167740959625,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,oridata,2,0.0035273341927677
0.0023954715579748,9.240285180567298e-06,0.0030397837391115,0.00029943394474685,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,wgan,2,0.0023954715579748
0.0117605747655034,0.0001409445976605,0.0118720089985041,0.001470071845687925,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,diffts,2,0.0117605747655034
0.0136130945757031,0.0001862408680608,0.0136470094914911,0.0017016368219628876,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,diffts-fft,5,0.0136130945757031
0.0015398875111714,3.927808847947745e-06,0.0019818700381073,0.000192485938896425,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,timegan,2,0.0015398875111714
0.0023882742971181,9.750408025865909e-06,0.0031225643349442,0.0002985342871397625,0.0,Bobcat_warehouse_Charlie_start4000_2160,30,cgan,2,0.0023882742971181
0.0037153929006308,2.0638079149648547e-05,0.0045429152699173,0.00046442411257885,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,oridata,2,0.0037153929006308
0.0023296477738767,9.4298866315512e-06,0.0030708120475781,0.0002912059717345875,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,wgan,2,0.0023296477738767
0.0129139646887779,0.0001720091822789,0.0131152271150368,0.0016142455860972374,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,diffts,2,0.0129139646887779
0.0136572467163205,0.0001893820735858,0.013761615951111,0.0017071558395400626,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,diffts-fft,5,0.0136572467163205
0.0006704553961753,7.505078087888251e-07,0.000866318537715,8.38069245219125e-05,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,timegan,2,0.0006704553961753
0.001625640084967,4.693936261901399e-06,0.0021665493905981,0.000203205010620875,0.0,Bobcat_warehouse_Charlie_start4000_2160,40,cgan,2,0.001625640084967
